Date,Time,Open,High,Low,Close,Volume
20210124,00:00:00,1854.19,1859.26,1853.78,1856.74,1
20210125,00:00:00,1856.81,1867.73,1847.03,1855.39,76
20210126,00:00:00,1855.38,1861.63,1848.28,1851.24,65
20210127,00:00:00,1851.21,1853.10,1831.23,1839.82,79
20210128,00:00:00,1839.82,1863.91,1833.92,1843.78,95
20210129,00:00:00,1843.80,1875.52,1839.42,1847.05,110
20210131,00:00:00,1863.42,1866.84,1851.36,1855.90,5
20210201,00:00:00,1855.90,1871.64,1848.89,1857.59,111
20210202,00:00:00,1857.61,1863.97,1829.32,1836.33,102
20210203,00:00:00,1836.40,1844.79,1829.37,1834.22,73
20210204,00:00:00,1834.22,1834.63,1784.89,1795.78,88
20210205,00:00:00,1795.80,1815.02,1791.90,1814.05,73
20210207,00:00:00,1816.96,1818.68,1814.26,1817.88,2
20210208,00:00:00,1817.90,1838.99,1807.66,1830.38,74
20210209,00:00:00,1830.38,1848.47,1829.81,1836.04,77
20210210,00:00:00,1836.04,1855.23,1833.91,1841.92,69
20210211,00:00:00,1841.90,1847.40,1821.01,1826.66,59
20210212,00:00:00,1826.63,1830.62,1810.39,1823.65,57
20210214,00:00:00,1825.12,1826.09,1819.99,1820.76,1
20210215,00:00:00,1820.76,1826.91,1815.87,1818.60,35
20210216,00:00:00,1818.65,1826.38,1786.60,1788.27,79
20210217,00:00:00,1788.29,1795.02,1769.42,1778.09,79
20210218,00:00:00,1778.09,1789.46,1768.31,1771.45,76
20210219,00:00:00,1771.42,1791.40,1760.44,1783.40,86
20210221,00:00:00,1781.55,1787.90,1781.17,1783.15,2
20210222,00:00:00,1783.18,1812.54,1780.55,1810.34,92
20210223,00:00:00,1810.35,1815.88,1795.42,1805.70,85
20210224,00:00:00,1805.70,1813.74,1783.44,1802.96,87
20210225,00:00:00,1802.96,1804.11,1765.33,1769.78,120
20210226,00:00:00,1769.79,1775.61,1717.09,1733.19,113
20210228,00:00:00,1732.75,1739.76,1732.69,1739.09,2
20210301,00:00:00,1739.09,1759.71,1719.53,1724.90,99
20210302,00:00:00,1724.89,1740.45,1707.07,1736.42,83
20210303,00:00:00,1736.43,1737.37,1701.80,1710.37,84
20210304,00:00:00,1710.35,1723.10,1690.26,1694.19,104
20210305,00:00:00,1694.11,1707.67,1687.14,1699.40,90
20210307,00:00:00,1701.72,1713.88,1701.72,1707.68,3
20210308,00:00:00,1707.68,1714.17,1676.70,1684.55,89
20210309,00:00:00,1684.55,1720.47,1680.01,1715.74,82
20210310,00:00:00,1715.74,1727.07,1708.14,1726.58,77
20210311,00:00:00,1726.59,1739.73,1719.12,1722.60,79
20210312,00:00:00,1722.60,1729.16,1699.08,1726.96,76
20210314,00:00:00,1727.19,1730.30,1724.13,1725.23,3
20210315,00:00:00,1725.23,1734.42,1721.55,1730.62,72
20210316,00:00:00,1730.61,1741.15,1726.11,1731.59,59
20210317,00:00:00,1731.59,1751.50,1724.02,1748.38,76
20210318,00:00:00,1748.35,1755.41,1719.12,1735.11,85
20210319,00:00:00,1735.09,1746.54,1728.39,1744.86,76
20210321,00:00:00,1746.01,1746.93,1737.87,1738.09,4
20210322,00:00:00,1738.08,1742.99,1727.24,1739.20,75
20210323,00:00:00,1739.22,1742.38,1724.58,1727.05,76
20210324,00:00:00,1727.11,1738.32,1723.62,1734.50,68
20210325,00:00:00,1734.40,1745.39,1721.59,1727.22,83
20210326,00:00:00,1727.22,1736.65,1721.50,1731.81,67
20210328,00:00:00,1731.27,1732.99,1730.38,1731.02,2
20210329,00:00:00,1730.98,1732.79,1705.67,1711.86,64
20210330,00:00:00,1711.86,1714.32,1678.60,1685.40,77
20210331,00:00:00,1685.40,1715.26,1677.79,1707.36,72
20210401,00:00:00,1707.34,1730.46,1705.64,1728.81,63
20210404,00:00:00,1727.93,1729.77,1726.00,1727.97,3
20210405,00:00:00,1727.96,1733.45,1721.15,1729.31,48
20210406,00:00:00,1729.17,1745.32,1727.40,1743.15,60
20210407,00:00:00,1743.15,1743.26,1730.52,1736.73,56
20210408,00:00:00,1736.73,1758.57,1733.06,1754.06,56
20210409,00:00:00,1754.12,1757.24,1731.17,1743.03,60
20210411,00:00:00,1743.38,1744.04,1740.43,1741.68,2
20210412,00:00:00,1741.62,1744.94,1727.32,1731.87,61
20210413,00:00:00,1731.87,1748.93,1723.58,1746.55,68
20210414,00:00:00,1746.55,1749.22,1732.51,1736.54,63
20210415,00:00:00,1736.56,1769.53,1734.25,1763.85,70
20210416,00:00:00,1763.86,1783.75,1759.62,1775.75,67
20210418,00:00:00,1777.00,1778.07,1774.64,1776.67,2
20210419,00:00:00,1776.67,1789.97,1766.63,1772.01,74
20210420,00:00:00,1772.02,1780.33,1763.51,1776.84,71
20210421,00:00:00,1776.85,1797.53,1776.42,1793.47,70
20210422,00:00:00,1793.56,1797.75,1777.33,1783.05,78
20210423,00:00:00,1783.10,1795.86,1769.87,1776.82,70
20210425,00:00:00,1775.85,1776.26,1773.74,1774.80,2
20210426,00:00:00,1774.81,1783.41,1768.62,1779.97,67
20210427,00:00:00,1779.97,1785.46,1773.62,1775.38,66
20210428,00:00:00,1775.38,1783.92,1762.50,1783.81,76
20210429,00:00:00,1783.77,1789.88,1756.03,1773.07,79
20210430,00:00:00,1773.07,1773.18,1764.11,1768.43,73
20210502,00:00:00,1768.87,1769.11,1765.94,1768.98,2
20210503,00:00:00,1768.98,1797.80,1767.23,1792.47,64
20210504,00:00:00,1792.47,1798.88,1770.64,1778.59,82
20210505,00:00:00,1778.58,1787.85,1770.23,1785.18,72
20210506,00:00:00,1785.18,1817.95,1781.88,1814.64,76
20210507,00:00:00,1814.63,1843.17,1812.75,1830.62,95
20210509,00:00:00,1833.43,1836.82,1831.82,1836.15,3
20210510,00:00:00,1836.17,1845.30,1830.00,1836.09,97
20210511,00:00:00,1836.02,1841.72,1817.88,1835.45,91
20210512,00:00:00,1835.45,1843.60,1813.14,1817.52,106
20210513,00:00:00,1817.50,1828.68,1808.66,1824.95,108
20210514,00:00:00,1825.11,1845.85,1819.57,1842.69,85
20210516,00:00:00,1844.53,1848.01,1840.50,1847.01,2
20210517,00:00:00,1847.01,1868.95,1843.46,1868.88,81
20210518,00:00:00,1868.88,1874.85,1863.11,1870.03,60
20210519,00:00:00,1870.05,1890.02,1852.10,1865.81,66
20210520,00:00:00,1865.82,1883.76,1863.73,1873.91,50
20210521,00:00:00,1873.93,1889.23,1870.00,1880.90,48
20210523,00:00:00,1882.12,1883.74,1880.00,1883.43,1
20210524,00:00:00,1883.39,1886.88,1875.06,1877.35,51
20210525,00:00:00,1877.36,1900.12,1872.61,1898.19,73
20210526,00:00:00,1898.15,1912.65,1890.59,1896.08,80
20210527,00:00:00,1896.03,1903.48,1888.19,1897.91,85
20210528,00:00:00,1897.95,1905.80,1882.13,1902.65,58
20210530,00:00:00,1903.34,1904.75,1902.57,1903.75,1
20210531,00:00:00,1903.80,1910.55,1902.01,1908.00,30
20210601,00:00:00,1907.98,1916.48,1892.27,1898.80,60
20210602,00:00:00,1898.81,1909.40,1894.23,1907.69,53
20210603,00:00:00,1907.69,1909.50,1865.18,1870.87,68
20210604,00:00:00,1870.87,1896.10,1855.32,1890.71,65
20210606,00:00:00,1891.40,1891.40,1888.57,1889.20,1
20210607,00:00:00,1889.20,1900.02,1881.41,1898.66,56
20210608,00:00:00,1898.62,1903.69,1883.62,1893.29,61
20210609,00:00:00,1893.28,1898.92,1887.24,1888.60,54
20210610,00:00:00,1888.60,1899.76,1869.67,1898.23,68
20210611,00:00:00,1898.16,1902.95,1874.38,1877.05,58
20210613,00:00:00,1876.76,1877.89,1873.10,1873.58,2
20210614,00:00:00,1873.58,1873.78,1844.48,1866.76,59
20210615,00:00:00,1866.74,1869.07,1851.48,1857.79,56
20210616,00:00:00,1857.85,1862.93,1803.27,1818.69,70
20210617,00:00:00,1818.69,1825.23,1767.13,1776.64,99
20210618,00:00:00,1776.73,1797.06,1760.77,1763.20,85
20210620,00:00:00,1763.94,1770.03,1763.84,1769.30,3
20210621,00:00:00,1769.21,1787.65,1766.38,1783.50,85
20210622,00:00:00,1783.49,1789.99,1772.23,1777.44,54
20210623,00:00:00,1777.44,1794.84,1773.21,1777.22,47
20210624,00:00:00,1777.17,1787.85,1772.78,1775.15,33
20210625,00:00:00,1775.15,1790.27,1773.59,1780.94,31
20210627,00:00:00,1781.23,1782.71,1780.45,1781.84,1
20210628,00:00:00,1781.80,1785.72,1770.52,1778.02,35
20210629,00:00:00,1777.99,1778.82,1750.49,1761.36,36
20210630,00:00:00,1761.40,1774.28,1753.23,1768.14,34
20210701,00:00:00,1768.18,1782.68,1765.53,1775.43,36
20210702,00:00:00,1775.44,1794.93,1774.11,1786.98,35
20210704,00:00:00,1786.53,1787.58,1785.37,1786.11,1
20210705,00:00:00,1786.11,1795.13,1784.34,1791.12,21
20210706,00:00:00,1791.12,1814.92,1789.94,1795.43,37
20210707,00:00:00,1795.39,1809.65,1793.75,1803.25,36
20210708,00:00:00,1803.23,1818.29,1794.18,1803.65,39
20210709,00:00:00,1803.61,1812.30,1796.56,1807.84,31
20210711,00:00:00,1807.57,1808.40,1806.22,1806.37,1
20210712,00:00:00,1806.36,1810.71,1791.38,1807.00,34
20210713,00:00:00,1806.97,1817.06,1798.51,1805.95,38
20210714,00:00:00,1805.95,1829.68,1804.45,1826.26,38
20210715,00:00:00,1826.26,1833.98,1820.13,1829.41,34
20210716,00:00:00,1829.39,1831.43,1808.87,1811.55,34
